loan_amount,annual_income,credit_score,employment_years,debt_to_income,num_credit_lines,num_delinquencies,loan_purpose,default
13087,90690,427,11,0.47,8,2,education,0
24762,107744,847,20,0.1,13,2,education,0
18081,99303,346,28,0.67,4,1,auto,0
35947,105579,804,6,0.48,3,1,personal,0
10596,67994,414,0,0.27,3,8,home,1
39019,87061,715,13,0.08,12,1,home,0
43003,119064,522,23,0.49,5,3,education,1
19313,36978,802,9,0.31,6,3,education,0
48639,76344,395,2,0.69,18,8,personal,1
2013,66648,406,29,0.07,14,2,personal,1
24705,21055,331,10,0.08,5,9,education,1
2828,95582,792,21,0.71,11,1,personal,1
8909,121387,365,19,0.73,9,2,auto,0
39356,101214,478,29,0.07,17,8,home,0
14109,64876,742,20,0.55,12,4,education,1
3023,138363,848,25,0.21,1,4,auto,0
15537,112160,500,27,0.54,1,6,auto,1
27661,127954,348,14,0.66,4,0,business,1
39659,58725,562,5,0.12,18,9,education,0
34848,25255,432,17,0.22,17,4,business,0
38804,94947,643,12,0.07,12,8,auto,0
16379,73380,475,14,0.08,12,5,education,1
28766,134648,690,2,0.07,5,7,business,0
44590,73333,310,14,0.61,1,9,home,1
3563,62459,500,23,0.26,19,7,education,0
37060,136518,302,23,0.4,7,0,business,1
30197,56163,513,0,0.6,15,7,personal,1
4586,53971,606,9,0.4,14,5,education,0
17087,116771,843,23,0.35,3,3,personal,0
49868,85149,626,26,0.06,5,2,education,0
24225,147150,498,17,0.45,6,4,business,0
30750,104730,408,25,0.14,11,4,business,0
7643,39476,590,25,0.59,19,6,education,1
28523,88580,407,28,0.23,2,8,auto,1
37727,140759,707,7,0.52,12,0,business,1
12005,125576,351,11,0.5,14,8,education,0
44543,106593,411,25,0.48,9,2,education,0
1161,89050,594,4,0.24,16,5,home,0
17029,95526,488,0,0.24,17,5,personal,0
15226,124496,364,7,0.65,17,3,home,0
29731,129071,764,27,0.06,2,1,personal,0
44922,134832,557,4,0.18,10,4,personal,1
45848,27507,630,16,0.48,11,2,home,0
4390,90393,800,14,0.62,3,3,auto,0
6997,32118,509,3,0.3,2,5,education,0
13693,70529,388,12,0.51,4,6,business,1
43092,88682,327,16,0.44,8,1,education,0
1541,111937,537,12,0.1,19,2,home,1
22817,74176,635,24,0.49,18,6,auto,1
38861,135481,362,25,0.62,1,4,business,1
14428,111713,799,1,0.74,2,3,business,0
44934,124060,840,23,0.07,8,3,auto,0
49831,24414,768,3,0.51,10,8,business,1
11258,103030,350,24,0.34,19,8,business,1
17044,140360,411,1,0.06,7,9,auto,1
30411,105973,600,11,0.48,17,6,home,1
6469,82137,389,18,0.14,3,0,home,1
29854,23937,528,17,0.31,15,0,business,0
7256,56731,449,9,0.23,4,2,home,0
11720,106862,437,29,0.3,17,2,home,1
34937,58665,434,4,0.39,11,6,business,0
34598,94510,756,10,0.3,6,1,business,0
2651,132681,793,0,0.44,17,7,home,1
20194,37500,826,27,0.22,10,0,personal,0
26051,134360,632,2,0.49,1,7,auto,0
28386,21750,661,16,0.65,18,8,home,1
10518,85018,473,25,0.21,14,4,home,1
47026,145456,512,14,0.41,19,3,personal,1
17184,24027,642,13,0.5,18,5,education,0
34787,129832,360,23,0.45,1,5,education,0
22621,25745,360,14,0.31,1,7,auto,0
11028,81731,823,15,0.5,9,7,business,0
13448,106984,515,27,0.07,14,0,home,0
46253,127983,722,3,0.31,3,8,personal,0
35051,48451,722,18,0.42,12,9,business,0
31447,113743,670,23,0.06,17,0,business,0
19394,91474,505,28,0.41,17,2,education,0
35501,81536,585,24,0.51,2,6,home,1
31254,32150,404,7,0.58,6,4,auto,0
19509,33406,842,5,0.13,1,5,personal,0
49998,39781,541,15,0.74,12,7,home,1
15472,77417,790,29,0.47,4,3,business,0
46657,136047,797,2,0.3,16,3,business,0
4471,143971,734,7,0.22,11,7,auto,0
42796,123157,783,28,0.45,10,2,education,0
31268,38325,746,4,0.67,8,5,auto,1
9329,88684,683,4,0.41,2,3,auto,0
35865,114415,809,11,0.51,8,5,home,0
47850,134547,469,24,0.3,1,3,education,0
47698,93469,622,0,0.32,7,1,business,0
29272,29436,773,6,0.25,14,9,education,0
43845,37669,531,23,0.54,4,2,home,1
7397,147385,658,10,0.3,17,7,home,1
33373,92010,574,9,0.18,2,0,auto,0
36525,132983,331,2,0.31,2,9,home,1
25570,96764,476,7,0.65,8,5,education,1
19284,119074,364,0,0.57,7,8,auto,1
19994,21843,326,7,0.28,8,0,auto,0
24284,85609,778,22,0.68,17,3,auto,0
18833,70812,567,19,0.1,17,6,education,1
26122,36059,365,10,0.08,7,5,auto,0
6017,106269,432,6,0.14,5,5,personal,0
17370,141790,665,25,0.13,15,8,personal,0
30252,60768,381,29,0.11,2,7,education,1
8999,45395,627,26,0.51,11,4,business,1
23436,40202,397,15,0.47,17,1,business,0
43963,33273,626,6,0.5,13,2,auto,0
3096,68889,841,12,0.53,4,9,education,0
49201,118635,424,9,0.58,18,2,auto,1
26279,136109,509,28,0.2,14,3,auto,0
44363,93048,432,27,0.49,19,1,personal,0
49709,113767,802,16,0.46,3,7,home,0
27201,108810,456,2,0.71,4,7,education,1
20715,123235,681,6,0.21,9,7,home,0
30309,144571,321,10,0.09,14,9,personal,1
16078,65510,718,12,0.51,17,4,home,0
6105,107945,771,4,0.57,2,9,personal,1
30312,131730,533,24,0.25,14,5,business,0
3839,139096,753,22,0.45,16,5,personal,0
4384,90649,461,18,0.09,19,6,education,1
44619,126723,600,14,0.72,16,0,business,0
43821,22881,605,0,0.13,11,9,auto,0
14493,65913,301,4,0.1,14,2,education,0
18069,131860,570,29,0.08,7,2,education,0
47907,104785,720,12,0.35,5,6,education,1
8531,85037,442,9,0.12,8,5,home,0
38051,82457,834,28,0.57,17,8,home,0
8736,55343,336,4,0.68,14,8,auto,1
8710,82389,406,22,0.23,10,8,home,1
2619,98250,596,29,0.49,12,3,education,1
14975,124489,396,0,0.08,5,2,personal,1
46603,28656,580,9,0.32,8,3,auto,1
24252,25741,409,17,0.26,12,2,auto,0
16261,36661,848,26,0.21,4,6,education,1
2431,117091,487,21,0.5,13,2,business,1
10067,48690,787,7,0.14,17,0,home,0
38481,52833,653,19,0.65,5,7,business,0
28037,122566,318,2,0.52,6,5,education,1
10557,91240,692,18,0.55,9,4,business,1
10435,133659,560,18,0.7,5,7,education,1
38766,126898,709,1,0.71,2,7,home,0
1162,97711,702,16,0.44,3,2,home,0
35742,77141,783,15,0.4,11,2,auto,0
20675,98232,603,20,0.28,10,9,business,0
9461,59023,317,9,0.55,3,6,business,1
18015,60209,483,20,0.43,9,2,business,0
33591,113590,704,15,0.7,8,8,business,0
29047,146324,430,4,0.22,16,7,personal,0
35782,106612,778,19,0.27,2,7,auto,1
10833,100522,307,2,0.27,10,8,auto,0
8896,131654,617,27,0.61,14,7,personal,0
33972,34440,690,2,0.12,5,3,business,0
42800,139107,818,1,0.37,1,6,personal,1
31508,27960,435,20,0.35,13,5,business,0
6347,42462,830,3,0.1,4,0,personal,0
31314,145919,666,21,0.34,9,4,auto,0
3643,37821,788,17,0.41,16,1,personal,0
41785,77772,310,1,0.1,19,8,education,1
19681,47258,745,23,0.41,14,2,business,0
39328,112889,413,5,0.72,8,6,personal,1
16892,108952,495,2,0.74,10,1,business,0
48299,82524,622,20,0.42,1,6,home,0
18073,42115,811,2,0.41,5,3,business,0
37768,138066,464,26,0.25,15,5,personal,0
31682,66433,551,1,0.75,8,8,business,1
33262,110504,343,2,0.24,10,7,education,0
32358,108267,769,16,0.37,6,8,education,0
15289,108321,788,13,0.05,15,4,personal,1
8927,124933,480,6,0.29,15,4,personal,1
49330,99364,376,21,0.1,10,3,business,0
2171,90077,673,20,0.57,19,8,auto,0
12918,60644,366,5,0.44,4,9,education,0
42903,82643,824,7,0.45,6,7,education,0
40110,33311,391,18,0.25,15,5,home,0
12929,143221,543,18,0.62,6,9,home,1
3539,143012,640,11,0.05,18,5,auto,0
37727,149466,603,4,0.28,11,5,education,0
46951,50531,697,4,0.51,12,5,personal,1
23669,34588,747,13,0.69,8,6,education,0
6432,69416,396,26,0.21,14,5,personal,1
21644,32380,630,16,0.43,4,7,personal,0
19745,62645,504,15,0.43,18,6,auto,1
29228,37818,748,3,0.66,6,1,education,0
35521,50857,717,24,0.09,6,9,business,0
32703,41711,376,7,0.35,19,3,education,0
27928,25097,848,2,0.18,2,6,education,0
19322,136348,724,20,0.07,4,1,home,0
23360,48393,728,4,0.15,5,3,auto,0
30055,42076,784,22,0.73,15,1,business,0
43891,104274,434,23,0.2,3,1,business,0
17376,77609,553,24,0.7,16,6,business,1
7588,49317,554,6,0.19,13,1,personal,1
26000,124765,798,17,0.7,12,3,auto,0
7304,78480,783,23,0.51,9,6,home,0
8345,27044,345,7,0.13,11,5,personal,0
30300,91033,742,10,0.46,8,3,business,0
25259,139237,303,28,0.27,7,8,personal,0
26470,75486,300,13,0.32,4,4,personal,0
24017,75162,589,17,0.36,2,1,business,1
16352,99287,408,12,0.35,19,6,business,0
34365,49882,759,5,0.51,12,9,home,0
20446,74078,565,12,0.59,3,1,auto,0
3336,78734,437,25,0.28,19,7,education,0
10879,127608,733,0,0.7,3,6,education,1
33316,128730,343,10,0.71,19,8,education,0
34340,63826,809,6,0.08,19,5,home,0
8521,107985,561,9,0.06,7,6,personal,0
7171,64028,451,1,0.35,14,9,business,1
24481,71331,512,15,0.46,4,8,auto,0
19474,139655,533,4,0.24,6,6,education,1
47760,118938,660,15,0.23,14,8,auto,1
45629,138319,619,29,0.52,8,7,auto,1
46232,52543,521,22,0.47,18,4,business,1
22008,144279,509,25,0.17,15,6,home,1
2633,49362,695,15,0.67,19,6,business,0
13485,47315,788,26,0.53,18,0,home,1
44617,47746,763,14,0.3,15,3,personal,0
4648,30057,751,8,0.53,12,4,auto,1
48945,131649,712,29,0.13,18,5,education,0
14140,62915,775,0,0.38,5,6,auto,0
18921,41061,555,8,0.17,15,4,business,1
15357,71370,449,10,0.08,9,1,home,1
47136,54157,426,4,0.29,8,4,personal,0
4137,131375,691,5,0.16,8,4,personal,1
1097,31322,779,29,0.49,3,6,home,0
12407,89812,696,7,0.52,13,2,home,1
31575,97842,701,14,0.15,13,0,home,0
13722,54017,573,26,0.07,12,5,personal,1
13924,76792,438,15,0.6,15,6,auto,1
4750,47742,402,29,0.05,14,9,auto,1
28733,117136,541,17,0.29,1,7,personal,1
9535,84808,416,11,0.4,2,6,education,0
25487,140400,513,22,0.62,4,6,business,1
31651,149198,783,27,0.64,13,6,personal,1
5666,37629,828,3,0.56,10,0,education,0
49777,148614,523,24,0.22,13,8,business,0
17994,28245,569,21,0.55,1,8,auto,1
2727,116950,433,15,0.22,11,6,home,1
35622,63870,413,22,0.2,18,8,business,1
11800,115634,740,10,0.43,9,3,home,0
38823,84829,664,21,0.53,6,6,education,0
44039,134530,531,26,0.09,13,1,personal,0
19708,30588,757,23,0.09,5,5,personal,1
13819,20442,674,21,0.6,10,1,home,1
10369,125280,506,6,0.65,5,9,business,1
10283,122979,819,23,0.47,10,2,business,0
31573,97339,767,14,0.35,5,0,education,0
14171,60721,742,16,0.64,11,6,personal,0
31933,57145,620,14,0.56,5,1,home,0
6774,30599,392,9,0.46,5,2,auto,1
7519,92594,707,27,0.27,17,0,personal,0
11983,102742,457,3,0.19,5,2,personal,0
31932,97430,398,21,0.34,1,3,education,1
31798,22939,524,16,0.25,13,6,personal,1
19133,141784,740,3,0.29,4,5,education,0
15939,42149,700,21,0.41,8,0,education,0
1781,147616,363,22,0.17,6,3,auto,0
28624,86567,578,28,0.61,15,8,business,0
7823,30208,818,21,0.15,15,2,personal,0
19489,86098,547,10,0.39,16,5,education,1
40961,129034,667,3,0.57,9,1,education,0
30118,69492,397,11,0.39,5,4,business,0
35881,40951,567,28,0.3,16,8,business,1
17280,68920,359,22,0.38,7,1,education,0
23263,66766,799,9,0.64,3,2,personal,1
14565,77014,607,13,0.74,10,1,personal,0
21354,48351,792,17,0.49,16,1,personal,0
43951,104216,710,5,0.61,12,5,business,1
26643,69386,439,4,0.06,9,5,personal,1
24648,107122,627,1,0.67,16,4,personal,0
42971,29308,763,24,0.72,9,1,personal,0
19658,79252,462,12,0.45,7,0,business,1
22253,95145,359,22,0.58,11,2,home,1
49563,115031,330,13,0.41,17,2,home,0
27390,103211,632,2,0.25,10,8,personal,0
24128,48064,375,22,0.65,15,3,home,0
14489,73879,616,10,0.47,10,8,personal,0
39314,146534,716,26,0.46,2,0,business,0
33658,28720,489,21,0.51,16,2,personal,0
7852,146204,788,22,0.65,7,0,auto,0
30450,62940,614,3,0.56,15,5,education,1
3551,99993,595,12,0.2,17,0,business,0
7411,88475,800,28,0.38,13,1,auto,0
34243,67113,476,25,0.74,19,8,auto,1
22800,68926,514,28,0.44,8,0,education,0
11403,58203,631,7,0.71,9,3,auto,0
8239,108901,427,7,0.62,19,5,education,1
7710,25392,568,22,0.52,17,1,personal,1
22384,45905,834,12,0.29,10,0,business,0
22038,93508,665,22,0.26,14,3,business,0
41846,70385,647,9,0.5,12,2,business,0
23447,50653,441,12,0.35,7,6,education,0
3285,111865,444,12,0.61,9,6,education,0
38991,104720,544,23,0.58,18,9,auto,1
14521,145813,741,16,0.27,7,6,business,1
48657,34799,589,5,0.54,4,8,auto,1
7971,80103,411,1,0.4,8,8,personal,0
30139,137463,513,16,0.28,18,3,auto,0
20909,35052,499,11,0.34,15,8,business,0
12531,26044,704,25,0.68,7,6,education,1
15721,39871,720,22,0.3,8,5,auto,0
20206,109303,306,5,0.25,1,8,auto,0
38711,132719,824,4,0.3,11,3,education,0
7530,40234,585,4,0.2,10,0,education,0
12116,145407,688,24,0.43,5,5,business,0
1258,41381,715,8,0.15,2,0,personal,0
1282,37274,449,27,0.62,2,9,business,1
14937,132162,727,27,0.21,19,8,auto,0
2898,107840,592,21,0.47,16,4,business,1
5135,144945,633,28,0.14,11,1,business,0
7629,103108,571,2,0.73,14,7,education,1
44936,123948,342,22,0.37,5,9,personal,0
20584,147177,767,19,0.63,4,5,personal,0
24551,69892,618,4,0.59,19,2,business,0
34380,70521,791,6,0.55,10,1,education,1
47971,111501,826,11,0.63,9,9,education,1
18071,103920,471,6,0.12,18,3,auto,0
21074,103391,620,9,0.52,5,0,home,1
26188,37920,343,7,0.24,17,0,auto,0
3307,36702,831,16,0.6,18,4,auto,0
40901,145144,753,4,0.72,1,9,auto,0
12205,123457,382,14,0.68,14,8,home,1
6906,21894,842,27,0.13,14,4,education,0
3591,50985,621,8,0.31,14,5,education,0
16149,48287,533,22,0.31,1,9,personal,0
45918,147699,839,10,0.14,4,8,personal,0
40951,145702,551,27,0.12,7,2,business,1
26150,93527,748,12,0.32,12,3,business,0
32852,35439,538,17,0.74,13,1,business,1
43870,148676,789,16,0.45,15,3,personal,0
2283,114620,763,23,0.49,2,7,personal,1
34691,62235,613,8,0.38,14,1,auto,0
2125,47659,474,9,0.51,12,3,education,0
2529,44976,479,4,0.72,13,7,personal,0
27170,124239,684,29,0.46,14,6,home,1
9438,102643,594,10,0.1,3,8,auto,1
21095,87865,514,21,0.4,13,1,home,0
17154,127631,374,14,0.74,8,3,home,0
9004,88306,643,1,0.32,16,8,education,0
10752,76697,441,26,0.47,6,5,home,0
44360,90382,498,20,0.12,11,8,home,0
27819,36651,470,27,0.15,15,8,home,0
37632,69044,705,19,0.66,19,6,home,0
27515,34633,527,23,0.26,2,6,auto,1
25217,99164,710,23,0.26,11,7,auto,0
24172,20569,361,13,0.32,9,1,education,0
33994,79900,626,4,0.73,4,9,education,0
16036,87509,432,26,0.11,17,6,home,0
12739,143425,488,23,0.62,8,5,business,1
33220,121126,655,5,0.29,16,6,home,1
10587,139148,370,25,0.64,1,5,home,1
45517,147522,562,21,0.74,10,2,education,0
31129,53038,605,28,0.29,7,4,personal,0
1645,69088,523,14,0.14,15,2,education,0
31930,93177,627,28,0.15,1,5,auto,1
17299,94466,373,3,0.58,16,2,education,0
31090,92216,810,9,0.15,2,1,personal,0
22953,86793,441,27,0.23,3,3,home,0
47443,93786,401,26,0.19,15,8,personal,0
27475,58138,364,18,0.3,18,0,education,0
19888,83310,492,8,0.1,15,7,business,0
44732,48757,361,20,0.65,4,4,auto,1
17087,90394,831,25,0.65,3,1,personal,0
47305,126885,540,9,0.34,7,8,education,1
47037,99027,709,3,0.48,19,1,home,0
10346,110830,599,21,0.5,8,2,education,0
1587,76151,494,29,0.57,7,0,home,0
13763,130740,753,3,0.41,4,0,business,0
42945,131174,600,5,0.41,10,1,auto,0
5079,69272,755,25,0.49,10,1,personal,0
37116,26908,501,7,0.54,15,5,education,1
21215,30844,601,15,0.29,18,7,education,0
26817,71455,636,7,0.28,10,3,personal,0
25765,123165,331,27,0.24,9,2,home,0
31112,88447,397,15,0.43,9,1,auto,0
26556,94527,490,5,0.3,16,0,business,0
19099,97108,840,16,0.43,17,7,personal,0
44553,63066,347,28,0.33,16,6,auto,1
46096,115229,549,0,0.64,6,1,education,1
7450,60004,525,29,0.1,5,6,auto,1
14230,58333,571,18,0.45,7,5,business,1
30009,141219,784,17,0.45,13,7,auto,1
6433,103029,627,16,0.32,8,5,education,0
34866,59697,479,16,0.34,1,3,business,0
40864,37634,322,27,0.61,10,7,business,1
19710,145520,669,11,0.25,1,0,business,0
12439,44561,544,11,0.66,14,9,education,1
42855,38033,459,5,0.68,15,0,home,0
17021,92887,672,6,0.51,6,3,education,1
7416,75063,584,7,0.59,2,0,home,0
7980,45921,820,2,0.48,7,4,home,1
19058,39340,749,16,0.42,19,8,education,0
12101,82781,435,20,0.73,5,8,auto,1
41718,34901,395,7,0.25,8,8,education,0
33602,30638,418,27,0.16,3,5,business,0
10122,58596,673,26,0.25,13,0,auto,0
13576,106914,573,29,0.48,6,9,personal,0
28516,64324,476,10,0.18,14,4,personal,0
23433,108356,576,19,0.69,7,9,personal,1
2089,110596,437,17,0.34,11,1,business,0
38346,52642,431,15,0.64,9,0,business,1
10127,142302,343,24,0.22,10,4,home,0
11487,45378,422,27,0.27,17,4,business,0
1155,70867,435,12,0.09,8,0,home,0
2958,93686,666,8,0.23,6,6,personal,1
11693,62875,672,18,0.39,11,2,education,0
40112,138171,425,6,0.71,3,5,education,1
39547,109595,738,28,0.32,6,1,business,0
29795,120061,350,16,0.5,17,8,personal,1
22447,103729,436,7,0.35,7,1,personal,0
37598,84377,457,7,0.08,6,1,home,0
42814,149267,355,28,0.4,13,0,home,0
26215,74691,727,2,0.1,14,0,personal,0
10794,140736,742,15,0.67,19,3,business,1
34209,129503,625,11,0.58,8,6,business,1
23424,113337,379,14,0.32,13,3,personal,0
48246,84303,773,20,0.5,9,4,education,0
38396,80839,676,3,0.13,5,5,education,0
7370,145200,632,22,0.54,11,4,home,1
10528,69063,474,26,0.63,7,4,personal,1
29276,111782,740,6,0.63,6,3,education,1
45333,148824,425,10,0.25,12,8,business,0
9179,98343,518,23,0.23,12,4,auto,1
49781,103071,577,4,0.41,6,8,auto,1
17843,25492,784,12,0.73,4,3,personal,0
24952,141399,440,10,0.69,13,8,home,1
34160,51357,409,4,0.3,12,4,auto,1
45898,91838,351,7,0.6,15,7,business,1
30516,52314,618,20,0.69,8,0,business,0
11449,68697,498,28,0.23,13,3,business,0
22125,90283,345,29,0.63,11,3,auto,0
8418,79567,804,28,0.24,11,1,education,0
23746,67006,839,16,0.29,11,2,business,0
3454,80011,813,10,0.19,19,7,home,0
18761,126706,316,18,0.4,17,7,personal,1
16223,30686,614,17,0.64,1,0,personal,0
7701,57449,735,27,0.42,13,1,personal,0
3597,81606,687,9,0.14,9,3,education,0
1141,38891,376,4,0.23,11,5,personal,1
3659,72115,670,28,0.44,9,2,personal,0
21980,121732,464,23,0.46,17,6,auto,1
10031,80719,323,24,0.45,7,2,education,1
16037,115464,334,24,0.1,8,7,education,0
47738,93030,813,0,0.58,2,5,auto,0
39429,56723,760,16,0.69,14,7,home,1
7142,49877,437,16,0.41,10,6,personal,0
13109,138393,564,0,0.55,9,4,home,0
23010,113517,632,24,0.69,1,4,auto,0
9787,34026,487,0,0.5,12,2,auto,0
43864,40422,362,22,0.52,14,3,auto,0
9472,29244,578,21,0.55,19,7,auto,1
24383,53481,841,8,0.23,11,4,business,0
5249,109180,470,26,0.46,9,8,auto,1
48717,129384,802,24,0.64,17,2,home,1
35518,141699,832,3,0.26,6,9,auto,0
19351,78031,598,8,0.68,6,2,home,0
5088,28521,500,13,0.48,10,7,auto,1
16282,21746,434,14,0.35,10,7,auto,0
20330,103127,571,15,0.49,17,6,business,1
43409,112254,834,15,0.33,14,5,auto,0
22778,135472,741,12,0.64,5,6,personal,1
25264,88232,386,13,0.39,3,6,business,1
6075,32012,330,21,0.68,11,5,business,1
11412,100224,420,20,0.41,19,8,personal,0
49454,43457,368,8,0.51,19,4,business,1
29365,90572,795,22,0.75,14,4,auto,0
8230,125431,445,8,0.15,15,5,personal,0
49200,49960,632,20,0.57,3,9,auto,1
12002,122022,780,3,0.15,3,3,business,0
14947,107695,562,9,0.64,9,9,education,1
14686,27910,592,2,0.47,11,9,personal,1
30304,22693,728,20,0.71,15,8,home,0
14074,135313,385,8,0.66,17,1,business,0
5493,35858,315,18,0.1,12,2,education,0
35228,48810,417,15,0.15,17,8,business,1
15140,40092,569,15,0.47,9,0,auto,0
32655,108779,694,16,0.41,13,4,auto,0
44472,68700,461,17,0.17,8,2,auto,0
7816,78105,403,9,0.14,6,2,education,0
12639,50505,466,20,0.44,7,0,auto,1
48192,93228,599,18,0.08,1,7,business,1
47733,48555,327,21,0.66,10,2,business,0
30492,91934,723,14,0.61,15,3,business,0
12240,92788,455,14,0.6,14,4,personal,1
33698,97257,623,10,0.06,4,4,business,0
27957,37939,647,7,0.08,4,1,auto,0
33808,31825,420,21,0.43,9,6,personal,0
6827,110787,827,15,0.75,15,5,personal,1
33762,122491,463,9,0.29,12,6,personal,1
9259,44151,361,8,0.29,9,9,personal,0
15849,148068,639,14,0.14,3,9,education,0
17232,20036,611,21,0.52,15,2,business,1
41572,113948,675,29,0.5,11,7,education,1
25173,103707,645,4,0.12,6,5,home,0
6374,59051,449,19,0.38,15,6,education,0
22174,118297,476,1,0.52,7,8,personal,1
24567,100738,653,21,0.4,19,7,business,0
36292,93596,813,15,0.52,14,7,business,1
10277,80071,608,17,0.62,4,2,auto,0
32600,93601,418,15,0.53,1,0,education,0
10885,49873,818,4,0.48,13,0,business,0
1778,56648,777,0,0.65,11,9,home,1
30165,91468,713,18,0.68,18,1,home,0
2492,46470,650,9,0.32,9,7,education,0
31462,85129,805,20,0.17,11,9,auto,0
14615,28328,494,28,0.62,6,5,home,1
45900,26333,486,12,0.2,16,5,auto,1
43946,140447,749,22,0.7,5,0,education,0
8851,141173,795,23,0.07,1,1,business,0
17288,66638,814,22,0.69,14,4,auto,0
8156,31268,572,22,0.46,19,2,home,0
3044,90603,351,10,0.59,6,1,auto,1
8368,133920,562,14,0.33,12,8,business,0
20900,130379,667,1,0.74,7,9,business,1
31600,37045,432,5,0.21,10,6,home,0
47403,60741,524,20,0.24,10,0,auto,1
26634,108306,609,10,0.09,13,0,auto,0
10168,62770,315,14,0.71,7,2,personal,1
21961,27887,494,8,0.37,19,9,home,1
45096,118718,742,11,0.52,1,5,auto,0
47087,117906,602,25,0.53,15,1,education,0
24852,125154,347,26,0.66,14,7,personal,1
34110,44918,420,3,0.52,13,3,home,0
33174,55497,798,27,0.44,7,7,business,0
35215,113562,768,22,0.55,12,6,home,1
27955,81009,340,26,0.58,8,1,education,0
7581,31929,755,23,0.18,15,8,education,0
45619,133292,833,13,0.13,17,4,business,0
7317,122201,670,21,0.1,12,5,business,1
43856,147121,481,2,0.31,13,1,business,1
46714,81762,816,26,0.4,8,2,personal,0
27649,120473,530,20,0.48,10,9,education,1
24132,99099,647,16,0.72,7,7,business,0
17789,136566,778,29,0.28,2,4,education,0
15567,48546,508,12,0.58,16,9,personal,1
15868,141142,577,7,0.42,4,0,personal,0
25370,98424,352,11,0.2,6,8,education,1
43533,57338,309,11,0.48,7,0,business,1
31483,145497,763,11,0.73,19,8,home,0
13466,54283,457,26,0.14,4,9,auto,0
29803,102494,318,1,0.41,10,5,education,0
19230,98170,354,28,0.09,4,6,personal,1
18862,104787,320,9,0.27,5,0,business,0
44355,66566,581,22,0.48,14,9,auto,0
32259,105464,839,8,0.64,11,0,education,0
34539,122781,716,0,0.56,2,4,home,0
22909,148279,584,28,0.37,9,1,home,0
31795,101991,831,3,0.69,12,9,personal,0
9770,112680,831,22,0.26,1,4,personal,0
12093,48013,810,13,0.58,15,4,personal,0
47571,72132,695,15,0.38,6,5,education,1
1193,143997,419,24,0.68,17,8,home,1
35775,107412,396,17,0.61,15,5,home,1
18569,112498,419,1,0.68,14,9,personal,1
12190,48084,836,5,0.2,19,0,personal,0
43752,127855,452,2,0.52,9,4,business,1
33327,41143,544,19,0.57,3,1,home,1
43070,111627,815,18,0.57,15,7,personal,1
21389,142772,692,12,0.4,17,6,personal,0
41197,34179,442,16,0.06,2,5,personal,1
3261,118343,803,13,0.23,4,1,business,0
29369,78726,519,29,0.28,14,2,home,0
27512,30222,459,21,0.65,11,8,home,1
7716,79965,375,10,0.64,12,8,home,1
22259,140061,331,15,0.12,16,6,business,1
29933,147941,633,10,0.71,12,1,education,0
42689,84068,824,28,0.18,2,6,business,0
5378,43949,739,17,0.34,7,0,auto,0
41583,36116,651,1,0.2,3,8,business,1
47546,71052,638,22,0.65,3,8,auto,0
20835,71369,699,20,0.57,13,5,personal,0
30033,68817,695,7,0.3,7,9,auto,0
25000,123100,501,13,0.53,5,0,business,0
46496,122910,829,1,0.18,5,7,education,0
11332,103203,392,12,0.32,6,5,home,1
43604,94311,657,9,0.31,13,8,business,0
3800,49655,695,7,0.22,7,8,home,0
30538,77802,359,6,0.66,2,6,auto,1
31119,67632,776,12,0.53,9,3,personal,0
9333,34193,300,25,0.25,19,0,personal,0
6410,100212,610,29,0.22,2,2,business,0
18839,50776,467,23,0.06,13,5,auto,1
31519,63225,491,26,0.29,8,0,auto,0
6808,80010,333,18,0.42,16,3,home,0
7796,102735,333,23,0.24,1,7,auto,1
22180,85451,716,14,0.54,11,7,education,1
44056,68812,457,21,0.34,8,5,personal,1
18709,100602,799,1,0.27,1,5,education,1
18543,38895,665,21,0.71,7,2,education,0
38418,85782,639,4,0.23,9,6,home,1
30075,41209,634,18,0.33,2,7,auto,0
38755,124820,626,0,0.32,19,1,home,0
48968,102336,413,6,0.22,6,4,personal,1
38465,131646,717,17,0.2,5,5,home,0
31502,81807,767,0,0.26,13,0,education,0
17724,43086,442,0,0.65,10,4,home,1
4828,105637,608,6,0.59,1,2,auto,1
18087,102027,700,27,0.53,18,2,home,0
13605,47207,619,16,0.37,14,5,auto,1
32337,127334,511,24,0.41,12,0,education,0
6482,40897,616,5,0.24,6,4,auto,0
28005,83083,484,19,0.1,14,4,auto,0
23760,115028,504,11,0.28,17,4,auto,0
6463,86957,663,19,0.4,7,2,auto,0
47628,117551,515,14,0.09,3,5,personal,1
5912,98506,545,12,0.11,17,0,business,0
5648,27283,538,11,0.23,10,9,personal,1
34623,114024,690,29,0.31,3,0,home,0
36634,101481,819,20,0.33,16,1,personal,0
45602,20255,576,1,0.13,6,3,personal,0
4112,141936,501,20,0.21,4,9,auto,1
23054,96555,513,17,0.23,9,8,home,1
5492,35487,777,27,0.1,7,9,home,1
23207,127333,807,3,0.28,16,7,education,0
16114,39346,374,9,0.1,6,9,auto,1
35285,55050,441,10,0.54,12,1,personal,0
17018,28744,621,29,0.32,3,0,education,0
22386,44756,760,20,0.28,12,3,education,0
18740,81596,445,5,0.14,14,4,personal,1
45199,103397,353,5,0.21,14,1,home,0
9210,45146,655,8,0.21,9,9,auto,1
45363,139640,576,19,0.74,4,5,auto,1
